MetaboliteName;KEGG_Pathways_Total_Metabolites;KEGG.ID;CommonName;CAS;PubChem;ChEBI;mzPos;mzNEG;RT;PathwayID;PathwayName;"PathwayClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
(S)-3-Hydroxybutyric acid;Butanoic acid;C00246;"Butanoic acid; Butanoate; Butyrate; Butyric acid";107-92-6;3545;1 796 830 772;105.05462;103.04007;3.87;"hsa00650; hsa04973; hsa04974";"Butanoate metabolism; Carbohydrate digestion and absorption; Protein digestion and absorption";"Metabolism; Carbohydrate metabolism; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"2,3-Diaminopropionic acid,NA,C06393,""2,3-Diaminopropanoate; 2";"3-Diaminopropionate; 2";"3-Diaminopropionic acid;"" 2";"3-Diaminopropanoic acid""""";NA;8629;18383;105.06585;103.0513;7.82;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Serine;L-Serine;C00065;"L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine";56-45-1;3365;17115;106.04987;104.03532;7.09;"hsa00260; hsa00270; hsa00470; hsa00564; hsa00600; hsa00630; hsa00920; hsa00970; hsa02010; hsa04071; hsa04974; hsa04978;"" hsa05230";Glycine;" serine and threonine metabolism""; Cysteine and methionine metabolism; D-Amino acid metabolism; Glycerophospholipid metabolism; Sphingolipid metabolism; Glyoxylate and dicarboxylate metabolism; Sulfur metabolism; Aminoacyl-tRNA biosynthesis; ABC transporters; Sphingolipid signaling pathway; Protein digestion and absorption; Mineral absorption;"" Central carbon metabolism in cancer""""";"Metabolism""; Amino acid metabolism; Metabolism of other amino acids; Lipid metabolism; Carbohydrate metabolism; Energy metabolism; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Signal transduction; Organismal Systems; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Diethanolamine;NA;C06772;Diethanolamine;111-42-2;8992;28123;106.0863;NA;4.8;hsa00564;Glycerophospholipid metabolism;"Metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
D-Glyceric acid;D-Glycerate;C00258;"D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid";473-81-4;3557;1 665 932 398;107.03389;105.01933;5.88;"hsa00030; hsa00260; hsa00561;"" hsa00630";"Pentose phosphate pathway""; Glycine";" serine and threonine metabolism; Glycerolipid metabolism;"" Glyoxylate and dicarboxylate metabolism""""";"Metabolism""; Carbohydrate metabolism; Amino acid metabolism; Lipid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
2-Aminophenol;NA;C01987;"2-Aminophenol; 2-Hydroxyaniline; 2-Aminobenzenol; o-Aminophenol";95-55-6;5084;18112;110.06004;108.04549;2.39;hsa00380;Tryptophan metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Aminophenol;NA;C05058;"m-Aminophenol; 3-Aminophenol; 3-Hydroxyaniline";591-27-5;7517;28924;110.06004;108.04549;2.48;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Aminophenol;NA;C02372;"4-Hydroxyaniline; 4-Aminophenol; p-Aminophenol; 4-Aminobenzenol";123-30-8;5414;17602;110.06004;108.04549;2.61;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Hydroquinone,NA,C00530,""Hydroquinone; p-Benzenediol; 1";"4-Benzenediol; 1";"4-Dihydroxybenzene; Benzene-1";"4-diol; Quinol;"" 4-Hydroxyphenol""""";123-31-9;3812;17594;111.04406;109.0295;2.4;"hsa00350""; hsa05208";"Tyrosine metabolism; Chemical carcinogenesis - reactive oxygen species";"Metabolism; Amino acid metabolism; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Pyrocatechol,NA,C00090,""Catechol; 1";"2-Benzenediol; o-Benzenediol; 1";"2-Dihydroxybenzene; Brenzcatechin;"" Pyrocatechol""""";120-80-9;3390;18135;111.04406;109.0295;0;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;
Pyrrole-2-carboxylic acid;NA;C05942;Pyrrole-2-carboxylate;NA;8227;36751;112.0393;110.02475;3.66;hsa00470;D-Amino acid metabolism;"Metabolism; Metabolism of other amino acids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Cytosine;NA;C00380;Cytosine;71-30-7;3670;16040;112.05054;110.03599;4.31;hsa00240;Pyrimidine metabolism;"Metabolism; Nucleotide metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Histamine;Histamine;C00388;"Histamine; 1H-Imidazole-4-ethanamine; 2-(4-Imidazolyl)ethylamine";51-45-6;3678;18295;112.08692;110.07237;5.01;"hsa00340; hsa04080; hsa04664; hsa04721; hsa04750; hsa04971; hsa04974; hsa05310";"Histidine metabolism; Neuroactive ligand-receptor interaction; Fc epsilon RI signaling pathway; Synaptic vesicle cycle; Inflammatory mediator regulation of TRP channels; Gastric acid secretion; Protein digestion and absorption; Asthma";"Metabolism; Amino acid metabolism; Environmental Information Processing; Signaling molecules and interaction; Organismal Systems; Immune system; Nervous system; Sensory system; Digestive system; Human Diseases; Immune disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Uracil;Uracil;C00106;Uracil;66-22-8;3406;17568;113.03455;111.02;3.32;"hsa00240; hsa00410; hsa00770";"Pyrimidine metabolism; beta-Alanine metabolism; Pantothenate and CoA biosynthesis";"Metabolism; Nucleotide metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Creatinine;NA;C00791;"Creatinine; 1-Methylglycocyamidine";60-27-5;4049;16737;114.06619;112.05164;3.84;hsa00330;Arginine and proline metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Dihydrouracil,""5,6-Dihydrouracil"",C00429,""5,6-Dihydrouracil; Dihydro-2";4(1H;"3H)-pyrimidinedione; Dihydrouracile; Dihydrouracil; 5";6-Dihydro-2;"4-dihydroxypyrimidine; Hydrouracil;"" 2";"4-Dioxotetrahydropyrimidine""""";504-07-4;3718;15901;115.0502;113.03565;2.88;"hsa00240""; hsa00410; hsa00770";"Pyrimidine metabolism; beta-Alanine metabolism; Pantothenate and CoA biosynthesis";"Metabolism; Nucleotide metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;
Proline;L-Proline;C00148;"L-Proline; 2-Pyrrolidinecarboxylic acid";147-85-3;3448;17203;116.07061;114.05605;6.22;"hsa00330; hsa00470; hsa00970; hsa02010; hsa04974; hsa04978; hsa05230";"Arginine and proline metabolism; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; ABC transporters; Protein digestion and absorption; Mineral absorption; Central carbon metabolism in cancer";"Metabolism; Amino acid metabolism; Metabolism of other amino acids; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Organismal Systems; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Fumaric acid;Fumarate;C00122;"Fumarate; Fumaric acid; trans-Butenedioic acid";110-17-8;3422;1 801 229 806;117.01824;115.00368;8.34;"hsa00020; hsa00190; hsa00220; hsa00250; hsa00350; hsa00360; hsa00620; hsa00650; hsa00760; hsa04922; hsa05200; hsa05211;"" hsa05230";"Citrate cycle (TCA cycle)""; Oxidative phosphorylation; Arginine biosynthesis; Alanine";" aspartate and glutamate metabolism; Tyrosine metabolism; Phenylalanine metabolism; Pyruvate metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism; Glucagon signaling pathway; Pathways in cancer; Renal cell carcinoma;"" Central carbon metabolism in cancer""""";"Metabolism""; Carbohydrate metabolism; Energy metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins; Organismal Systems; Endocrine system; Human Diseases; Cancer: overview; Cancer: specific types;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Maleic acid;NA;C01384;"Maleic acid; Maleate; cis-Butenedioic acid";110-16-7;4579;18300;117.01824;115.00368;8.16;"hsa00350; hsa00650; hsa00760";"Tyrosine metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism";"Metabolism; Amino acid metabolism; Carbohydrate metabolism; Metabolism of cofactors and vitamins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Caproic acid;NA;C01585;"Hexanoic acid; Hexanoate; Hexylic acid; n-Caproic acid";142-62-1;4740;1 712 030 776;117.09101;115.07645;5;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Acetylglycine;NA;NA;NA;NA;NA;NA;118.04987;116.03532;4.5;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Guanidineacetic acid;Guanidinoacetate;C00581;"Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid";352-97-6;3860;16344;118.0611;116.04655;8.03;"hsa00260;"" hsa00330";Glycine;" serine and threonine metabolism"";"" Arginine and proline metabolism""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
5-Aminovaleric acid;NA;C00431;"5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid";660-88-8;3720;15887;118.08626;116.0717;7.76;"hsa00310; hsa00330; hsa00470";"Lysine degradation; Arginine and proline metabolism; D-Amino acid metabolism";"Metabolism; Amino acid metabolism; Metabolism of other amino acids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Betaine,Betaine,C00719,""Betaine; Trimethylaminoacetate; Glycine betaine; N";N;"N-Trimethylglycine;"" Trimethylammonioacetate""""";107-43-7;3985;17750;118.08626;116.0717;5.21;"hsa00260"";"" hsa02010";Glycine;" serine and threonine metabolism"";"" ABC transporters""""";"Metabolism""; Amino acid metabolism; Environmental Information Processing; Membrane transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Isopentyl nitrite;NA;C07328;"3-Methylbutanol; Isoamyl alcohol; Isopentyl alcohol; 3-Methylbutan-1-ol";123-51-3;9536;15837;118.08626;116.0717;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Valine;L-Valine;C00183;"L-Valine; 2-Amino-3-methylbutyric acid";72-18-4;3483;16414;118.08626;116.0717;5.02;"hsa00280; hsa00290; hsa00770; hsa00970; hsa02010; hsa04974; hsa04978;"" hsa05230";Valine;" leucine and isoleucine degradation""; Valine";" leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis; Aminoacyl-tRNA biosynthesis; ABC transporters; Protein digestion and absorption; Mineral absorption;"" Central carbon metabolism in cancer""""";"Metabolism""; Amino acid metabolism; Metabolism of cofactors and vitamins; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Organismal Systems; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;
Acetoxyacetic acid;NA;NA;NA;NA;NA;NA;119.03389;117.01933;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Dimethyl oxalate;NA;C10900;Methyl oxalate;553-90-2;13083;6859;119.03389;117.01933;2.66;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Erythrono-1;4-lactone (D-Erythronic acid ?-lactone);NA;NA;NA;NA;NA;NA;119.03389;117.01933;3.17;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
L-Threonic acid- 1;4-lactone;NA;NA;NA;NA;NA;NA;119.03389;117.01933;2.8;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Methylmalonic acid;Methylmalonate;C02170;"Methylmalonate; Methylmalonic acid";516-05-2;5245;1 745 330 860;119.03389;117.01933;6.63;"hsa00240; hsa00280;"" hsa00640";"Pyrimidine metabolism""; Valine";" leucine and isoleucine degradation;"" Propanoate metabolism""""";"Metabolism""; Nucleotide metabolism; Amino acid metabolism; Carbohydrate metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Oxalic acid monoethyl ester;NA;NA;NA;NA;NA;NA;119.03389;117.01933;2.71;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Succinic acid;Succinate;C00042;"Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid";110-15-6;3344;15741;119.03389;117.01933;8.07;"hsa00020; hsa00190; hsa00250; hsa00310; hsa00350; hsa00360; hsa00620; hsa00630; hsa00640; hsa00650; hsa00760; hsa00920; hsa04024; hsa04727; hsa04922;"" hsa05230";"Citrate cycle (TCA cycle)""; Oxidative phosphorylation; Alanine";" aspartate and glutamate metabolism; Lysine degradation; Tyrosine metabolism; Phenylalanine metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism; Sulfur metabolism; cAMP signaling pathway; GABAergic synapse; Glucagon signaling pathway;"" Central carbon metabolism in cancer""""";"Metabolism""; Carbohydrate metabolism; Energy metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins; Environmental Information Processing; Signal transduction; Organismal Systems; Nervous system; Endocrine system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
2-Hydroxy 2-methylbutyric acid;Butanoic acid;C00246;"Butanoic acid; Butanoate; Butyrate; Butyric acid";107-92-6;3545;1 796 830 772;119.07027;117.05572;2.77;"hsa00650; hsa04973; hsa04974";"Butanoate metabolism; Carbohydrate digestion and absorption; Protein digestion and absorption";"Metabolism; Carbohydrate metabolism; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Hydroxy 3-methylbutyric acid;Butanoic acid;C00246;"Butanoic acid; Butanoate; Butyrate; Butyric acid";107-92-6;3545;1 796 830 772;119.07027;117.05572;2.71;"hsa00650; hsa04973; hsa04974";"Butanoate metabolism; Carbohydrate digestion and absorption; Protein digestion and absorption";"Metabolism; Carbohydrate metabolism; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Hydroxypentanoic acid;NA;C00803;"Pentanoate; Valerate; Pentanoic acid; Valeric acid; Valerianic acid; n-Pentanoate; n-Valeric acid";109-52-4;4061;17418;119.07027;117.05572;2.65;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Hydroxy 3-methylbutyric acid (?-Hydroxyisovaleric acid);NA;NA;NA;NA;NA;NA;119.07027;117.05572;2.87;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Hydroxy-2-methyl butanoic acid;Butanoic acid;C00246;"Butanoic acid; Butanoate; Butyrate; Butyric acid";107-92-6;3545;1 796 830 772;119.07027;117.05572;3.26;"hsa00650; hsa04973; hsa04974";"Butanoate metabolism; Carbohydrate digestion and absorption; Protein digestion and absorption";"Metabolism; Carbohydrate metabolism; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Hydroxypentanoic acid;NA;C00803;"Pentanoate; Valerate; Pentanoic acid; Valeric acid; Valerianic acid; n-Pentanoate; n-Valeric acid";109-52-4;4061;17418;119.07027;117.05572;2.59;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
